EU	NIL
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Peter Blackburn	NIL
BRUSSELS	http://dbpedia.org/resource/Brussels
European Commission	http://dbpedia.org/resource/European_Commission
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Germany	http://dbpedia.org/resource/Germany
European Union	http://dbpedia.org/resource/European_Union
Werner Zwingmann	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
Commission	http://dbpedia.org/resource/European_Commission
Nikolaus van der Pas	NIL
European Union	http://dbpedia.org/resource/European_Union
EU	NIL
Franz Fischler	http://dbpedia.org/resource/Franz_Fischler
Fischler	NIL
EU-wide	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
France	http://dbpedia.org/resource/France
Bovine Spongiform Encephalopathy	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
Fischler	NIL
EU	NIL
Spanish	http://dbpedia.org/resource/Spain
Loyola de Palacio	http://dbpedia.org/resource/Loyola_de_Palacio
Fischler	NIL
EU	NIL
France	http://dbpedia.org/resource/France
Britain	http://dbpedia.org/resource/United_Kingdom
Fischler	NIL
EU	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
British	http://dbpedia.org/resource/United_Kingdom
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
Europe	http://dbpedia.org/resource/Europe
Germany	http://dbpedia.org/resource/Germany
Welsh National Farmers ' Union	NIL
NFU	NIL
John Lloyd Jones	NIL
BBC radio	NIL
Bonn	http://dbpedia.org/resource/Bonn
British	http://dbpedia.org/resource/United_Kingdom
Germany	http://dbpedia.org/resource/Germany
Britain	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
German	http://dbpedia.org/resource/Germany
British	http://dbpedia.org/resource/United_Kingdom
BONN	http://dbpedia.org/resource/Bonn
Germany	http://dbpedia.org/resource/Germany
Agriculture Ministry	NIL
British	http://dbpedia.org/resource/United_Kingdom
European Union	http://dbpedia.org/resource/European_Union
Werner Zwingmann	NIL
ZDF	http://dbpedia.org/resource/ZDF
Bonn	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
European Commission	http://dbpedia.org/resource/European_Commission
EU	NIL
EU	NIL
Franz Fischler	http://dbpedia.org/resource/Franz_Fischler
Britain	http://dbpedia.org/resource/United_Kingdom
France	http://dbpedia.org/resource/France
Bovine Spongiform Encephalopathy	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
EU	NIL
EU	NIL
BSE	http://dbpedia.org/resource/Bovine_spongiform_encephalopathy
British	http://dbpedia.org/resource/United_Kingdom
ZDF	http://dbpedia.org/resource/ZDF
Germany	http://dbpedia.org/resource/Germany
Britain	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
British	http://dbpedia.org/resource/United_Kingdom
EU	NIL
British	http://dbpedia.org/resource/United_Kingdom
EU	NIL
Britain	http://dbpedia.org/resource/United_Kingdom
Palestinians	http://dbpedia.org/resource/State_of_Palestine
PA	NIL
NABLUS	http://dbpedia.org/resource/Nablus
West Bank	NIL
West Bank	NIL
Palestinian Information Ministry	NIL
Israeli-PLO	NIL
Amman	http://dbpedia.org/resource/Amman
Daoud Makkawi	NIL
Nablus-based	NIL
al-Risala	NIL
Reuters	http://dbpedia.org/resource/Reuters
Jordan	http://dbpedia.org/resource/Jordan
Edward Said	http://dbpedia.org/resource/Edward_Said
New York City	http://dbpedia.org/resource/New_York_City
Columbia University	http://dbpedia.org/resource/Columbia_University
Said	http://dbpedia.org/resource/Edward_Said
U.S.	http://dbpedia.org/resource/United_States
Palestinian	http://dbpedia.org/resource/State_of_Palestine
Israeli-PLO	NIL
West Bank	NIL
Ramallah	http://dbpedia.org/resource/Ramallah
Said	http://dbpedia.org/resource/Edward_Said
Israel-PLO	NIL
Palestinian Information Ministry	NIL
Mutawakel Taha	NIL
Palestinian Authority	http://dbpedia.org/resource/Palestinian_National_Authority
Taha	NIL
Reuters	http://dbpedia.org/resource/Reuters
Taha	NIL
Daoud	NIL
British	http://dbpedia.org/resource/United_Kingdom
Patrick Seale	http://dbpedia.org/resource/Patrick_Seale
Daoud	NIL
West Bank	NIL
Gaza Strip	http://dbpedia.org/resource/Gaza_Strip
Israeli	http://dbpedia.org/resource/Israel
Jewish	http://dbpedia.org/resource/Jews
PLO	NIL
UN	NIL
Iraqi	http://dbpedia.org/resource/Iraq
UNITED NATIONS	http://dbpedia.org/resource/United_Nations
U.N.	http://dbpedia.org/resource/United_Nations
Iraqi	http://dbpedia.org/resource/Iraq
Yasushi Akashi	http://dbpedia.org/resource/Yasushi_Akashi
Security Council	http://dbpedia.org/resource/United_Nations_Security_Council
Akashi	http://dbpedia.org/resource/Yasushi_Akashi
Department of Humanitarian affairs	NIL
India	http://dbpedia.org/resource/India
RBI	http://dbpedia.org/resource/Reserve_Bank_of_India
NEW DELHI	http://dbpedia.org/resource/New_Delhi
Reserve bank of India	NIL
C. Rangarajan	http://dbpedia.org/resource/C._Rangarajan
Reuters	http://dbpedia.org/resource/Reuters
Rangarajan	http://dbpedia.org/resource/C._Rangarajan
New Delhi	http://dbpedia.org/resource/New_Delhi
Malaysia	http://dbpedia.org/resource/Malaysia
KUALA LUMPUR	http://dbpedia.org/resource/Kuala_Lumpur
Malaysia	http://dbpedia.org/resource/Malaysia
Chua Jui	NIL
Bernama	http://dbpedia.org/resource/Bernama
Chua	http://dbpedia.org/resource/Chua_Jui_Meng
Colombia	http://dbpedia.org/resource/Colombia
U.S.	http://dbpedia.org/resource/United_States
MIAMI	http://dbpedia.org/resource/Miami
U.S.	http://dbpedia.org/resource/United_States
Colombian	http://dbpedia.org/resource/Colombia
AMR Corp	http://dbpedia.org/resource/AMR_Corporation
American Airlines	http://dbpedia.org/resource/American_Airlines
New York	http://dbpedia.org/resource/New_York_City
Bogota	http://dbpedia.org/resource/Bogotá
Department of Transportation	http://dbpedia.org/resource/New_York_City_Department_of_Transportation
Miami	http://dbpedia.org/resource/Miami
AMR	http://dbpedia.org/resource/AMR_Corporation
Miami	http://dbpedia.org/resource/Miami
Colombia	http://dbpedia.org/resource/Colombia
New York	http://dbpedia.org/resource/New_York_City
United States	http://dbpedia.org/resource/United_States
