Promodes	NIL
German	http://dbpedia.org/resource/Germany
PARIS	http://dbpedia.org/resource/Paris
German	http://dbpedia.org/resource/Germany
Promodes	NIL
German	http://dbpedia.org/resource/Germany
Spar AG	NIL
Les Echos	http://dbpedia.org/resource/Les_Échos_(France)
Rothschild & Cie	NIL
German	http://dbpedia.org/resource/Germany
Metro	http://dbpedia.org/resource/Metro_AG
Rewe	NIL
Lidl	http://dbpedia.org/resource/Lidl
Promodes	NIL
Germany	http://dbpedia.org/resource/Germany
Promodes	NIL
French	http://dbpedia.org/resource/France
German	http://dbpedia.org/resource/Germany
Promodes	NIL
Specia	NIL
Dia	http://dbpedia.org/resource/Dia_(supermarket_chain)
France	http://dbpedia.org/resource/France
Germany	http://dbpedia.org/resource/Germany
Aldi	http://dbpedia.org/resource/Aldi
Promodes	NIL
Paris	http://dbpedia.org/resource/Paris
